来源页面	附件URL	文件名	本地相对路径	大小	状态
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202412/t20241219_2087492.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202412/P020241219427912940499.ofd	P020241219427912940499.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/qtyzdgkdzfxx/202412/2087492/attachments/P020241219427912940499.ofd	15062	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202406/t20240627_2038037.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202406/P020240627558902695182.ofd	P020240627558902695182.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202406/2038037/attachments/P020240627558902695182.ofd	60038	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202405/t20240524_2028495.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202405/P020240524558666316345.ofd	P020240524558666316345.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202405/2028495/attachments/P020240524558666316345.ofd	49548	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202404/t20240428_2021065.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202404/P020240428390237098992.ofd	P020240428390237098992.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202404/2021065/attachments/P020240428390237098992.ofd	30209	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202404/t20240401_2014219.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202404/P020240401541945305805.ofd	P020240401541945305805.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202404/2014219/attachments/P020240401541945305805.ofd	36107	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202312/t20231219_1985758.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202312/P020231219541182108961.ofd	P020231219541182108961.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202312/1985758/attachments/P020231219541182108961.ofd	17575	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202312/t20231219_1985754.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202312/P020231219536895621118.ofd	P020231219536895621118.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202312/1985754/attachments/P020231219536895621118.ofd	35380	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202310/t20231007_1960225.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202310/P020231007364479467575.ofd	P020231007364479467575.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202310/1960225/attachments/P020231007364479467575.ofd	166080	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202308/t20230802_1929062.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202308/P020230802323285349212.ofd	P020230802323285349212.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202308/1929062/attachments/P020230802323285349212.ofd	33419	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202307/t20230713_1923514.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202307/P020230713382460620378.ofd	P020230713382460620378.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202307/1923514/attachments/P020230713382460620378.ofd	35292	done
