栏目	标题	原始链接	本地文件
zw/zyhy	2026年市政府召开第81次常务会议	https://www.sm.gov.cn/zw/zyhy/qthy/cwhy_35854/202607/t20260720_2261215.htm	zw/zyhy/qthy/cwhy_35854/202607/2261215/page.txt
zw/zyhy	市政府召开党组会议	https://www.sm.gov.cn/zw/zyhy/qthy/dzhy/202606/t20260623_2231200.htm	zw/zyhy/qthy/dzhy/202606/2231200/page.txt
zw/zyhy	市政府党组（扩大）会议和2026年第80次市政府常务会议召开	https://www.sm.gov.cn/zw/zyhy/qthy/dzhy/202605/t20260527_2209401.htm	zw/zyhy/qthy/dzhy/202605/2209401/page.txt
zw/zyhy	2026年市政府召开第83次常务会议	https://www.sm.gov.cn/zw/zyhy/qthy/cwhy_35854/202608/t20260808_2268633.htm	zw/zyhy/qthy/cwhy_35854/202608/2268633/page.txt
zw/zyhy	视频：2026年市政府召开第82次常务会议	https://www.sm.gov.cn/zw/zyhy/hysp/202608/t20260805_2265951.htm	zw/zyhy/hysp/202608/2265951/page.txt
zw/zyhy	市政府召开党组（扩大）会议暨理论学习中心组学习会	https://www.sm.gov.cn/zw/zyhy/qthy/dzhy/202607/t20260723_2262138.htm	zw/zyhy/qthy/dzhy/202607/2262138/page.txt
zw/zyhy	2026年市政府召开第82次常务会议	https://www.sm.gov.cn/zw/zyhy/qthy/cwhy_35854/202607/t20260723_2262134.htm	zw/zyhy/qthy/cwhy_35854/202607/2262134/page.txt
zw/zyhy	视频：2026年市政府召开第83次常务会议	https://www.sm.gov.cn/zw/zyhy/hysp/202609/t20260901_2313045.htm	zw/zyhy/hysp/202609/2313045/page.txt
zw/zyhy	视频：2026年市政府召开第81次常务会议	https://www.sm.gov.cn/zw/zyhy/hysp/202607/t20260720_2261687.htm	zw/zyhy/hysp/202607/2261687/page.txt
zw/zyhy	市政府召开专题会议	https://www.sm.gov.cn/zw/zyhy/qthy/qthy/202607/t20260702_2233444.htm	zw/zyhy/qthy/qthy/202607/2233444/page.txt
zw/zwxx/sjdt	市第八期“就是这个理”读书沙龙举办	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260902_2313345.htm	zw/zwxx/sjdt/202609/2313345/page.txt
zw/zwxx/sjdt	​市领导在三元区调研	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260822_2291575.htm	zw/zwxx/sjdt/202608/2291575/page.txt
zw/zwxx/sjdt	三明生态新城：多维度助力OPC产业加速集聚	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260828_2300993.htm	zw/zwxx/sjdt/202608/2300993/page.txt
zw/zwxx/sjdt	全市防御台风“沙德尔” 视频会商会召开	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260827_2296121.htm	zw/zwxx/sjdt/202608/2296121/page.txt
zw/zwxx/sjdt	防在风前 守在汛间——我市全力防御台风“沙德尔”综述	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260906_2314150.htm	zw/zwxx/sjdt/202609/2314150/page.txt
zw/zwxx/sjdt	市领导赴三元区、沙县区调研	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260902_2313346.htm	zw/zwxx/sjdt/202609/2313346/page.txt
zw/zwxx/sjdt	全国首单信托资金投资林业生物资产票据业务签约	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260821_2284418.htm	zw/zwxx/sjdt/202608/2284418/page.txt
zw/zwxx/sjdt	我市“救助+慈善”助力困难学子圆梦大学	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260821_2284416.htm	zw/zwxx/sjdt/202608/2284416/page.txt
zw/zwxx/sjdt	省运会青少年部柔道项目比赛收官	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260904_2313890.htm	zw/zwxx/sjdt/202609/2313890/page.txt
zw/zwxx/sjdt	“福小宣·明大理”巡回宣讲走进泰宁	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260904_2313888.htm	zw/zwxx/sjdt/202609/2313888/page.txt
zw/zwxx/sjdt	跨区驰援福鼎 昼夜抢修复电	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260904_2313892.htm	zw/zwxx/sjdt/202609/2313892/page.txt
zw/zwxx/sjdt	市委党的建设工作领导小组会议召开	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260905_2314132.htm	zw/zwxx/sjdt/202609/2314132/page.txt
zw/zwxx/sjdt	一场中医奔赴：到集市上 去屋檐下	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260824_2291821.htm	zw/zwxx/sjdt/202608/2291821/page.txt
zw/zwxx/sjdt	教育部基础教育典型案例公布​ 市特殊教育案例入选	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260907_2314234.htm	zw/zwxx/sjdt/202609/2314234/page.txt
zw/zwxx/sjdt	我市2人荣登今年第二批“中国好人榜”	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260904_2313886.htm	zw/zwxx/sjdt/202609/2313886/page.txt
zw/zwxx/sjdt	市领导赴将乐县调研	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260903_2313569.htm	zw/zwxx/sjdt/202609/2313569/page.txt
zw/zwxx/sjdt	福建省第五批柔性引进医疗卫生高层次人才团队项目推动会召开	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260904_2313896.htm	zw/zwxx/sjdt/202609/2313896/page.txt
zw/zwxx/sjdt	我市筑牢防汛防台风防线	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260827_2296170.htm	zw/zwxx/sjdt/202608/2296170/page.txt
zw/zwxx/sjdt	市十四届人大常委会 召开第三十四次会议	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260826_2295298.htm	zw/zwxx/sjdt/202608/2295298/page.txt
zw/zwxx/sjdt	招商服务有力 项目落地有声	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260823_2291585.htm	zw/zwxx/sjdt/202608/2291585/page.txt
zw/zwxx/sjdt	网络安全进万家公益活动正式启动	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260821_2284413.htm	zw/zwxx/sjdt/202608/2284413/page.txt
zw/zwxx/sjdt	省运会青少年部三人篮球项目（甲组）比赛开赛	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260825_2294856.htm	zw/zwxx/sjdt/202608/2294856/page.txt
zw/zwxx/sjdt	三明跨境电商公益培训助力零基础创业	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260825_2294854.htm	zw/zwxx/sjdt/202608/2294854/page.txt
zw/zwxx/sjdt	学期假期安全管理无缝衔接——我市教育系统织密暑期学生安全防护网	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260831_2311018.htm	zw/zwxx/sjdt/202608/2311018/page.txt
zw/zwxx/sjdt	市领导会商调度防汛工作	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260905_2314131.htm	zw/zwxx/sjdt/202609/2314131/page.txt
zw/zwxx/sjdt	我市全力做好第18号台风 “沙德尔”防御工作	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260828_2300995.htm	zw/zwxx/sjdt/202608/2300995/page.txt
zw/zwxx/sjdt	省农业行业职业技能竞赛在我市开赛	https://www.sm.gov.cn/zw/zwxx/sjdt/202609/t20260903_2313563.htm	zw/zwxx/sjdt/202609/2313563/page.txt
zw/zwxx/sjdt	市领导以“四不两直”方式督导 群腐集中整治和安全生产工作	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260826_2295295.htm	zw/zwxx/sjdt/202608/2295295/page.txt
zw/zwxx/sjdt	我市多维发力推进人工智能赋能工业转型	https://www.sm.gov.cn/zw/zwxx/sjdt/202608/t20260824_2291598.htm	zw/zwxx/sjdt/202608/2291598/page.txt
